"participant","prompt","stimulus","stimulus_voice","word_pair","vowel_1","vowel_2","vs","vowel_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","slider_response"
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big fig</p>","bigfig-p07-cc","p07","bigfig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,1,0.671
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big kick</p>","bigkick-p04-ic","p04","bigkick","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,1,0.582
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>dig big</p>","digbig-p08-ic","p08","digbig","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,1,0.288
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad dad</p>","baddad-p01-cc","p01","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,0.647
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p07-ci","p07","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,0.371
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p08-ci","p08","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,0.188
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p05-cc","p05","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,1,0.553
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>pick dad</p>","pickdad-p01-ci","p01","pickdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,0.677
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p01-ci","p01","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,0.394
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad dad</p>","baddad-p04-ii","p04","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,0.465
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p04-cc","p04","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,0.365
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p05-ii","p05","bigpig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,0.412
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>kick back</p>","kickback-p01-ii","p01","kickback","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,1,0.782
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>dig big</p>","digbig-p08-ii","p08","digbig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,0.312
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p07-ii","p07","badgig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,1,0.453
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad pig</p>","badpig-p05-ci","p05","badpig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,0.412
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pack</p>","bigpack-p06-ci","p06","bigpack","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,0.771
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad bag</p>","badbag-p08-ii","p08","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,0.353
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p04-ci","p04","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,0.441
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad fig</p>","badfig-p08-ci","p08","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,0.377
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>pick pack</p>","pickpack-p04-ii","p04","pickpack","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,1,0.882
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p01-ii","p01","bigpig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,0.629
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>pick pack</p>","pickpack-p05-ic","p05","pickpack","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,1,0.624
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>pig dig</p>","pigdig-p01-cc","p01","pigdig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,1,0.271
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p06-ii","p06","badbid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,1,0.653
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad fig</p>","badfig-p06-cc","p06","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,0.447
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big kid</p>","bigkid-p05-ci","p05","bigkid","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,0.694
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p01-ci","p01","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,0.618
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p08-cc","p08","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,0.335
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p06-ii","p06","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,0.647
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>back kick</p>","backkick-p04-ic","p04","backkick","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,1,0.529
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p06-ci","p06","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,0.724
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big fig</p>","bigfig-p04-cc","p04","bigfig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,1,0.641
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>tag back</p>","tagback-p07-ic","p07","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,0.618
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big pick</p>","bigpick-p06-ic","p06","bigpick","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,1,0.465
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>back pick</p>","backpick-p05-ii","p05","backpick","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,1,0.682
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad fig</p>","badfig-p07-ic","p07","badfig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,1,0.447
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p05-cc","p05","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,0.624
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tag back</p>","tagback-p05-ci","p05","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,0.318
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad bag</p>","badbag-p01-ii","p01","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,0.582
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p06-ci","p06","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,2,0.571
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p04-cc","p04","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,2,0.3
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tag back</p>","tagback-p07-cc","p07","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,0.659
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p04-ii","p04","bigdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,2,0.288
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pig dig</p>","pigdig-p04-ci","p04","pigdig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,2,0.365
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p01-cc","p01","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,2,0.682
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p08-ii","p08","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,0.447
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big pick</p>","bigpick-p06-cc","p06","bigpick","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,2,0.318
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p08-cc","p08","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,2,0.541
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pick pack</p>","pickpack-p05-ci","p05","pickpack","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,2,0.447
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p07-ii","p07","bigbag","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,2,0.706
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>thick pig</p>","thickpig-p07-ii","p07","thickpig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,2,0.229
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big fig</p>","bigfig-p05-ii","p05","bigfig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,2,0.547
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad tap</p>","badtap-p06-ii","p06","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,0.682
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p01-ci","p01","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,2,0.624
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p08-cc","p08","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,2,0.341
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pick pack</p>","pickpack-p07-ic","p07","pickpack","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,2,0.453
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pick dad</p>","pickdad-p01-ci","p01","pickdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,2,0.688
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad dad</p>","baddad-p04-ci","p04","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,0.318
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big fig</p>","bigfig-p07-cc","p07","bigfig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,2,0.618
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p06-ci","p06","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,2,0.547
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dig big</p>","digbig-p08-ci","p08","digbig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,2,0.624
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big kick</p>","bigkick-p01-ic","p01","bigkick","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,2,0.841
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad tap</p>","badtap-p06-ic","p06","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,0.453
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad fig</p>","badfig-p07-ci","p07","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,2,0.553
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad bid</p>","badbid-p08-ii","p08","badbid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,2,0.341
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p04-cc","p04","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,2,0.694
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>back kick</p>","backkick-p07-ic","p07","backkick","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,2,0.553
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pig dig</p>","pigdig-p01-ii","p01","pigdig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,2,0.429
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tag back</p>","tagback-p07-ci","p07","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,0.624
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big pack</p>","bigpack-p06-cc","p06","bigpack","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,2,0.388
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>back pick</p>","backpick-p05-ic","p05","backpick","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,2,0.482
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad back</p>","badback-p04-ic","p04","badback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,0.659
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p06-cc","p06","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,2,0.665
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>pick dad</p>","pickdad-p05-ii","p05","pickdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,2,0.629
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p08-ci","p08","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,2,0.377
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p05-ci","p05","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,2,0.778
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p01-cc","p01","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,0.647
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad fig</p>","badfig-p04-ii","p04","badfig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,2,0.647
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p06-ii","p06","badgig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,2,0.712
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big pig</p>","bigpig-p08-ic","p08","bigpig","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,2,0.329
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad gig</p>","badgig-p04-ic","p04","badgig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,2,0.371
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big kid</p>","bigkid-p05-cc","p05","bigkid","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,2,0.635
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bad dad</p>","baddad-p05-cc","p05","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,0.447
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bag tag</p>","bagtag-p08-ic","p08","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,0.282
"exp1048","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p01-ci","p01","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,2,0.906
"exp1048","<p class='top-prompt'>How accented does this speaker sound?</p><p class='bottom-prompt'>big gap</p>","biggap-p01-cc","p01","biggap","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,3,0.665
"exp1048","<p class='top-prompt'>How accented does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p07-ic","p07","bigdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,3,0.277
"exp1048","<p class='top-prompt'>How accented does this speaker sound?</p><p class='bottom-prompt'>kick dad</p>","kickdad-p04-ic","p04","kickdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,3,0.759
